,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.9942981673105364,0.986296659103615,0.9209761457781532,0.9772238577565201,0.9973673647468198,0.9473600939052824,0.9965031818174461,0.986233510700021
communities,0.7960777100524354,0.7655755882067199,0.9188224019639415,0.9854162024780906,0.7877360660291939,0.9562376793439803,0.8412569900945427,0.896719479737031
compas,0.8551490925085209,0.7886190552773249,0.8526403797986908,0.8649962866927612,0.8546541622836681,0.8780704624087999,0.9086807998174933,0.8368877122837083
german,0.8243767409403779,0.7681845830752136,0.7993510390781299,0.7295618192472607,0.8404995193335343,0.7371221762798943,0.8230613746770645,0.7921784954435676
adult_err,0.007671523626530693,0.008150363345022815,0.05011836905102624,0.010018839615712894,0.005466651434688586,0.0336789322105828,0.005696553158007849,0.007504187048101248
communities_err,0.06861008964800354,0.09106291226809086,0.024108209057216955,0.008155111099958349,0.07171878379795692,0.01407336692107265,0.0572936320872192,0.03881601513735808
compas_err,0.05245764602286821,0.06623091791711937,0.048519184547161226,0.039338825151594946,0.05859790613840342,0.047038656983248044,0.052662198920231974,0.04083860248389661
german_err,0.06883241396924533,0.08816386546381856,0.08615345727051563,0.1120646881776657,0.08327272444730995,0.09014575605309537,0.06209903773935534,0.08601466812720586
