,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.929580524469074,0.9614154802432806,0.9221851879622495,0.9824662728100368,0.9481911888950283,0.9429446728575386,0.9364910949821474,0.9635612837983313
communities,0.9982716270318481,0.9989380162042508,1.0,1.0,0.9973196386395705,0.9998596805106278,0.9987873233095308,0.9995394810393767
compas,0.9518345573724006,0.9750761479859787,0.9515951357486426,0.9734664939395374,0.9466700435308288,0.9496863885240083,0.9483387252870831,0.9697841092782354
german,0.9966901024188988,0.9916196401717133,0.9992812539454391,0.9961301788540875,0.9910065422150605,0.9931392442744942,0.9956954531920214,0.9901600205492268
adult_err,0.014011857388239138,0.004916785625192553,0.010922768652070534,0.00391780511762956,0.01097578285877762,0.006967043468833494,0.012117051570644183,0.004000532685116461
communities_err,0.004825025484738134,0.004151954027925317,0.0,0.0,0.005697121996493015,0.0006118292485904989,0.0032756328553957496,0.0019369716181935667
compas_err,0.01067518943992069,0.016345291519471818,0.011655653766649001,0.01167801354478822,0.01243816185042291,0.01047169292905996,0.010363325577360836,0.012887599025975905
german_err,0.00622025371907994,0.011739051839803463,0.0033429593932183866,0.008853486119236182,0.009260978767415488,0.01050813553284267,0.006711611766048022,0.01086305294241823
