,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.9999537387145149,0.9999411968119952,0.9999144405349766,0.9999858414944928,0.9999527095782069,0.9999432585044328,0.9999426660971912,0.9999577884325527
communities,0.999983164983165,1.0,1.0,1.0,1.0,1.0,0.9999894514767932,1.0
compas,0.9780746844267508,0.9840621205560882,0.9801732836514543,0.9896242306090186,0.9809692382680473,0.9817950907575269,0.9787176840898764,0.9860799612631275
german,1.0,0.99996996996997,1.0,1.0,0.9999862258953168,1.0,1.0,1.0
adult_err,5.2747570231951313e-05,0.00011142170357885254,0.0002777084667546395,6.937941670747751e-05,4.232885992099468e-05,0.00015373192963995708,5.105215401225105e-05,7.253923242876983e-05
communities_err,0.0001675063025432068,0.0,0.0,0.0,0.0,0.0,0.00010495648070745361,0.0
compas_err,0.007052806849431777,0.010180446347973883,0.006044443688464109,0.007890212053830305,0.0052560553673536735,0.005342984123759124,0.00471014393694546,0.006072743395101428
german_err,0.0,0.0002987950261581486,0.0,0.0,0.00013705061117170656,0.0,0.0,0.0
