,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.9898531302000859,0.9876310358416514,0.9604308872101681,0.9857854737371698,0.9950618955594447,0.9759421111296543,0.9910537864857392,0.9885206293212082
communities,0.9087734757999383,0.8856776624486156,0.9533538456342234,0.9918011408702401,0.9309161889845278,0.9701217699429695,0.9257026312154382,0.949621408418966
compas,0.9432587983062531,0.9283606331056201,0.9592368474878392,0.965383078951491,0.9312606677274704,0.9657099600204451,0.9790269179768163,0.9395577620934745
german,0.9188518686912268,0.8707115660089115,0.898096370095317,0.8612977736411787,0.9278596654094358,0.8587513159615925,0.91639175909282,0.8946515366545778
adult_err,0.0012765626778248858,0.0016446020929089943,0.0058814780308677475,0.002938008145917001,0.0007505284052214877,0.003443506883667407,0.0011234229351732784,0.0013908487410352617
communities_err,0.014429070784162185,0.0249185989796505,0.01485566221270176,0.004485838609114045,0.013498668419009532,0.007782526622693182,0.012307164667372843,0.009280781441845784
compas_err,0.018692822038423075,0.02271148210246836,0.008454141118706068,0.01399261648065102,0.018198753403017926,0.0066478566277640965,0.006701241487245231,0.016840950888213985
german_err,0.019731932735400106,0.028098462768309643,0.040246713205343274,0.034813427470498315,0.013185038927795573,0.02592316477982969,0.01744049451381487,0.019821972329753426
