,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.9668618850794978,0.9681759549326528,0.9186124260398404,0.9670508676083729,0.9802358871984008,0.941295594694064,0.9703307788362343,0.9696161527711256
communities,0.8895058598426573,0.8884427685803815,0.9784957571342606,0.9981009163457999,0.8777842979236802,0.9868577404065425,0.9127148288463958,0.9514542525701885
compas,0.8546544358528364,0.8285977006535887,0.8546490274720129,0.8730852076236176,0.8555842767733333,0.863903255810174,0.8786775273576386,0.848448913439574
german,0.9077726459689098,0.8554146937624414,0.9201308627939399,0.8495129960511513,0.8755897120807506,0.8447768817840268,0.897155721199148,0.8365650145322182
adult_err,0.018379755122398755,0.009502024546694512,0.027954500978473126,0.00732427740380382,0.013879067149056646,0.01684960035343467,0.017656849678645423,0.009242388674794575
communities_err,0.03348130677279955,0.0460597036362149,0.01338967959348242,0.0032351815350062114,0.03788721526328864,0.008303781034938442,0.028478012353378337,0.018574821180857546
compas_err,0.03251398670622138,0.03641028977442306,0.029949240562792884,0.02744795515924575,0.028449505413918857,0.026117195929070913,0.028800253690583543,0.02054502525519575
german_err,0.02530685083813521,0.03791608117241501,0.046251657475829606,0.047161111223013655,0.03410104375879647,0.037601759559480356,0.0222189368703428,0.04013647805620732
