,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.966292660848485,0.9751438252542683,0.8941016429937367,0.9744715853013904,0.9828898207093647,0.9319179986556986,0.9849917203148841,0.977772016963065
communities,0.8137162397453657,0.7974352822404963,0.9039523683387982,0.9903105927256516,0.8415756975989954,0.9607989671100613,0.8976761904432392,0.9080522839259103
compas,0.8916812146389066,0.6274536134104308,0.6985254481636587,0.7892966191261059,0.828860515837244,0.7803016385895835,0.8984835198682933,0.717945950553633
german,0.8974631162007757,0.7824117028710205,0.7811711468367747,0.7256962507741893,0.9056191113844527,0.7607246466576011,0.8707929707504581,0.8289045576501066
adult_err,0.0670723414196111,0.0209232672820714,0.0768063882646587,0.017489713574650623,0.04391826040565135,0.04988875924126242,0.04648450043119976,0.02065153027164752
communities_err,0.13826308994567701,0.1550892296769352,0.04327070183246366,0.013280140903777903,0.1218641477476881,0.019615521349642787,0.08956359519435876,0.06809342519595994
compas_err,0.09437776273254476,0.11258491030860711,0.13449124383709982,0.10830721862882631,0.10453534984419412,0.13965879276302157,0.10780028222939778,0.10112919418962521
german_err,0.10124241250230075,0.16139881433660613,0.16359275566868595,0.18154441372396798,0.11076155527020895,0.17580837643758984,0.10542232929782226,0.15915372931870175
