,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.9663696051619632,0.9691608153392869,0.9207518453868395,0.9674506224466006,0.9804391838215457,0.9423748629310889,0.972430499105032,0.9705459160207947
communities,0.8865815152136709,0.8975169646566852,0.9786665403389953,0.9981324848307368,0.8768936745322421,0.98761993211076,0.9084320729911489,0.9533364034840761
compas,0.8571669130404441,0.8262397181909868,0.8472482598505411,0.870147078897706,0.8556516822221347,0.8599627988297904,0.8795161932248196,0.8504079988514742
german,0.9076597306562045,0.8549180664681991,0.9269890916927078,0.8639188506296622,0.8715138452920064,0.8461657391530877,0.8954225429569757,0.8437096225181177
adult_err,0.016952176205463645,0.008151473053007575,0.0259600986393919,0.007208975739283056,0.015156365352350338,0.016539820867554126,0.016343238990019913,0.008134783899343946
communities_err,0.03733365194546326,0.04920758845581617,0.01366948575456199,0.002778154713095976,0.036645157837387976,0.008212421257902731,0.02502759139512263,0.018307635984574796
compas_err,0.03496383081322404,0.040934367914842715,0.02891926513292049,0.02572959714047229,0.0282364739676077,0.027909785268930707,0.028770250654004088,0.026118453440922777
german_err,0.02659554332860614,0.042468666168638765,0.04102965225233412,0.04828563673376999,0.036205808838722264,0.03708030927966297,0.026820772610680183,0.03742315747463011
