,"(1,3)","(1,4)","(2,3)","(2,4)","(ALL,1)","(ALL,2)","(ALL,3)","(ALL,4)"
adult,0.9902128501163251,0.9886827958862544,0.9599042786890841,0.9857078945228486,0.9948424055570907,0.9746356989774645,0.9915504837429645,0.9893733167341264
communities,0.8933900225360917,0.8686140884661927,0.9483114492574662,0.9878612933195459,0.9233983784333365,0.9621545914403749,0.9110273576456659,0.9407695228378056
compas,0.932013167597041,0.9286725510090862,0.9575003338294639,0.9595029357344964,0.9161164653934704,0.9649718287554958,0.976064284674826,0.9364498722024059
german,0.9132766619672005,0.8688675095447487,0.8916844704692108,0.85254222455465,0.9287778188970475,0.852177962966622,0.9146328578563057,0.8951088493359225
adult_err,0.0012271675913483658,0.0018278412681423059,0.0056591491480900815,0.0028038648948213287,0.0007371151135267717,0.0035842597595702056,0.001064593523246715,0.0015849958838883536
communities_err,0.017621335578154037,0.02326494583928195,0.014865399238811588,0.005186391019197277,0.011990714911432027,0.00701064774242134,0.014012871020299873,0.011178347600999457
compas_err,0.019340335359474672,0.019765446451669954,0.007891903477025305,0.015319741173357614,0.01867267642570195,0.0064694493158280715,0.00796493775444013,0.014911700169580147
german_err,0.019747180089970853,0.025062034452303705,0.03676476036127606,0.03487076915940864,0.014172362149276172,0.027684154330855474,0.019746652338067838,0.021232804369185072
