,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.20471633629528366,0.20471633629528366,0.20311267679688733,0.21279207585506266,0.2145275990518117,0.21160684050118522,0.21880544056771142,0.24600827912477824,0.205204021289178,0.22072072072072071,0.26576576576576577,0.22072072072072071,0.21410911488379758,0.2187242459205538,0.21410911488379758,0.1568627450980392,0.2549019607843137,0.19607843137254902,0.1468950749464668,0.14775160599571735,0.14411134903640258,0.2087984241628365,0.2206172028890348,0.20551543007222586,0.2119847592656737,0.21297441733880945,0.2105497550596269,0.19647764877446855,0.19602894161198048,0.19468282012451624,0.19750432694991904,0.1972810005024845,0.1972810005024845,0.3212996389891697,0.31362815884476536,0.2973826714801444
incomeNY,0.21906783845166386,0.21906783845166386,0.2152167473091735,0.22478107977659795,0.22733227608081086,0.2229883472385024,0.21434460016488047,0.22753503709810388,0.20032976092333057,0.22950819672131148,0.2786885245901639,0.2459016393442623,0.2205005959475566,0.21096543504171633,0.21096543504171633,0.09090909090909091,0.0,0.0,0.16366906474820145,0.15377697841726617,0.15377697841726617,0.19823788546255505,0.23127753303964757,0.21806167400881057,0.238876338277183,0.24172478145565268,0.23042923092034182,0.19904695721234986,0.20113173831033457,0.19984115953539164,0.21422146976350456,0.2110470345484366,0.20988307496957834,0.286770140428677,0.29416112342941614,0.28972653362897266
incomeTX,0.20539324128461361,0.20539324128461361,0.20535509954992753,0.21067346838671702,0.21734438612841517,0.21067346838671702,0.20399022801302932,0.20643322475570033,0.20399022801302932,0.25925925925925924,0.32407407407407407,0.25925925925925924,0.2047808764940239,0.20398406374501993,0.20398406374501993,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.14542836573074155,0.15046796256299497,0.14542836573074155,0.16964285714285715,0.22142857142857142,0.16964285714285715,0.22362294964544088,0.22727598309576677,0.22362294964544088,0.18462919148241821,0.18666884229419922,0.18454760544994697,0.1999432094759046,0.20343177024176537,0.2000243387960409,0.29118773946360155,0.3020434227330779,0.289272030651341
employmentCA,0.18623266451261186,0.18623266451261186,0.18623266451261186,0.18711503965766896,0.18867108988351236,0.18711503965766896,0.19291754756871035,0.20031712473572938,0.19291754756871035,0.23210831721470018,0.2514506769825919,0.23210831721470018,0.19282275711159738,0.19921225382932167,0.19282275711159738,0.20357142857142857,0.22142857142857142,0.20357142857142857,0.17961006426315215,0.19235377409868207,0.17961006426315215,0.1510387422796182,0.17097136440202135,0.1510387422796182,0.15597198561423434,0.1563235174819502,0.15597198561423434,0.21550776958091353,0.22089677183069115,0.21550776958091353,0.19129803748343535,0.19232346816432133,0.19129803748343535,0.15906591082155852,0.17336492089009223,0.15906591082155852
employmentNY,0.18301420157568649,0.18301420157568649,0.18301420157568649,0.17784648963259367,0.1793743179337941,0.17784648963259367,0.19572531169602217,0.20106867207599446,0.19572531169602217,0.23622047244094488,0.28346456692913385,0.23622047244094488,0.20181476846057572,0.21683354192740925,0.20181476846057572,0.16,0.16,0.16,0.1867983834755276,0.21508756174225416,0.1867983834755276,0.18901303538175046,0.20577281191806332,0.18901303538175046,0.16154456492991273,0.16276117429251521,0.16154456492991273,0.2029927151013979,0.20693049812955305,0.2029927151013979,0.18550126317086696,0.1866720069012262,0.18550126317086696,0.17107792399822563,0.17714032234215585,0.17107792399822563
employmentTX,0.17751050019091255,0.17751050019091255,0.1768995799923635,0.17724051070555405,0.18037685525893365,0.1766478156718445,0.17554618627826754,0.18685320045994633,0.17650440781908777,0.20408163265306123,0.22959183673469388,0.20408163265306123,0.19518377693282637,0.21419518377693283,0.1972961554710604,0.23529411764705882,0.2647058823529412,0.23529411764705882,0.1838992750858451,0.192293017932087,0.17970240366272416,0.14484272128749084,0.15947329919531822,0.13825896122896855,0.14184452406916964,0.1405982240224334,0.1405982240224334,0.21180347513481126,0.21689634511683642,0.21180347513481126,0.17704734126093785,0.1778550594570339,0.17668835539600627,0.1801536491677337,0.18719590268886044,0.17810499359795134
coverageCA,0.29973629233877874,0.29973629233877874,0.29973629233877874,0.283851494114096,0.28801690310896466,0.283851494114096,0.3306636155606407,0.3438215102974828,0.3306636155606407,0.37065637065637064,0.4015444015444015,0.37065637065637064,0.2741477272727273,0.3037405303030303,0.2741477272727273,0.328,0.416,0.328,0.3633354024415477,0.36974963790606247,0.3633354024415477,0.28041543026706234,0.33456973293768544,0.28041543026706234,0.3126925446703635,0.3126925446703635,0.3126925446703635,0.28936170212765955,0.2985507246376812,0.28936170212765955,0.30518791138792556,0.30823129733172905,0.30518791138792556,0.29462508294625084,0.30165892501658925,0.29462508294625084
coverageNY,0.28264219669375173,0.28264219669375173,0.2813112916783413,0.24480161852309767,0.2507586827020344,0.24502641339777453,0.32806324110671936,0.3416776460254721,0.31620553359683795,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.38004246284501064,0.38287331917905165,0.37791932059447986,0.25,0.2,0.1,0.3567046450482033,0.3637160385626643,0.3584574934268186,0.30131004366812225,0.37117903930131,0.3296943231441048,0.2848984771573604,0.2823604060913706,0.2822017766497462,0.28085800301053687,0.28211239337681887,0.28060712493728046,0.2773267613801102,0.28196578718469123,0.2773267613801102,0.2876118189211168,0.2965573326104635,0.2850365952832746
coverageTX,0.15136045992962283,0.15136045992962283,0.15136045992962283,0.14796737095480075,0.15151109922439154,0.14796737095480075,0.1898901098901099,0.21494505494505495,0.1898901098901099,0.13253012048192772,0.25301204819277107,0.13253012048192772,0.09010989010989011,0.12527472527472527,0.09010989010989011,0.2,0.35,0.2,0.15584415584415584,0.19985569985569984,0.15584415584415584,0.1710261569416499,0.2052313883299799,0.1710261569416499,0.1543540125213432,0.1609561752988048,0.1543540125213432,0.14905196629213482,0.1563377808988764,0.14905196629213482,0.15971568934880317,0.1673460855022473,0.15971568934880317,0.14382657869934024,0.15579641847313855,0.14382657869934024
incomeCA_err,0.004106545447484566,0.004106545447484566,0.004094294043184565,0.005276837682996194,0.0052929029730465205,0.005265784244030458,0.0194315398028512,0.020331198318968374,0.01893515203269386,0.05045317331371338,0.05476853796356476,0.05045317331371338,0.01034259759527184,0.010427152441815746,0.01034259759527184,0.04996053969282044,0.06359741013915693,0.05610073579959479,0.010058184305380302,0.010083818643701975,0.009974034611296784,0.020053775773348492,0.020503708410544386,0.019924160239433025,0.0056928414912691405,0.005702820341265291,0.005678282507366655,0.005883080891084441,0.005877842192731075,0.0058620537098225955,0.004173051539220318,0.004171232817536202,0.004171232817536202,0.019502641212848892,0.019361367195479706,0.019041442046711266
