,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP)
adult,0.1490326147042565,0.1490326147042565,0.1490326147042565,0.15668380462724935,0.15694087403598972,0.15668380462724935,0.10197628458498023,0.10197628458498023,0.10197628458498023,0.18677361270256998,0.18677361270256998,0.18677361270256998,0.07050408719346049,0.07356948228882834,0.07050408719346049
communities,0.17543859649122806,0.17543859649122806,0.15789473684210525,0.29533678756476683,0.25906735751295334,0.25906735751295334,0.06310679611650485,0.06796116504854369,0.06310679611650485,0.2192513368983957,0.2192513368983957,0.20855614973262032,0.13679245283018868,0.14150943396226415,0.11320754716981132
compas,0.306999306999307,0.306999306999307,0.29799029799029797,0.30831099195710454,0.31233243967828417,0.30831099195710454,0.30559540889526543,0.28694404591104733,0.28694404591104733,0.3112807463952502,0.30788804071246817,0.3044953350296862,0.2878787878787879,0.2803030303030303,0.2689393939393939
german,0.245,0.245,0.245,0.234375,0.2578125,0.234375,0.2638888888888889,0.2777777777777778,0.2638888888888889,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.29310344827586204,0.29310344827586204,0.29310344827586204
adult_err,0.007333793599376831,0.007333793599376831,0.007333793599376831,0.008065630919794925,0.008071258883684734,0.008065630919794925,0.0157816262977174,0.0157816262977174,0.0157816262977174,0.00976648632277019,0.00976648632277019,0.00976648632277019,0.008876220615958733,0.009066958617493528,0.008876220615958733
communities_err,0.03480758822834687,0.03480758822834687,0.033091012184713525,0.060982048702387964,0.0577292377975121,0.0577292377975121,0.026253210272340323,0.02746724787377572,0.026253210272340323,0.054282682109715735,0.054282682109715735,0.053006675991590035,0.04051704776233139,0.04125476918514662,0.03654541070220668
compas_err,0.02372343834842039,0.02372343834842039,0.02349547171099653,0.0327179447952366,0.032859110052237905,0.0327179447952366,0.03370609036900013,0.03297482670164126,0.03297482670164126,0.0262931642084408,0.02620073659628841,0.02610661513471374,0.05223972899110227,0.051690897387430546,0.05083195488680148
german_err,0.055431455255634254,0.055431455255634254,0.055431455255634254,0.06612937889229598,0.06916066450235117,0.06612937889229598,0.08944651739184445,0.09172362095805495,0.08944651739184445,0.06834082007169623,0.06834082007169623,0.06834082007169623,0.07649423306954142,0.07649423306954142,0.07649423306954142
