,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP),5 (ERM),5 (G-ERM),5 (PREP),6 (ERM),6 (G-ERM),6 (PREP),7 (ERM),7 (G-ERM),7 (PREP),8 (ERM),8 (G-ERM),8 (PREP),9 (ERM),9 (G-ERM),9 (PREP),10 (ERM),10 (G-ERM),10 (PREP),11 (ERM),11 (G-ERM),11 (PREP)
incomeCA,0.20687207529312793,0.20687207529312793,0.20450602029549397,0.21473924822214696,0.2178716559431087,0.2134270233660684,0.21584861028976937,0.2300413956238912,0.20875221762270846,0.22072072072072071,0.22522522522522523,0.22522522522522523,0.22086698533047636,0.2210318114389319,0.21773528926982033,0.20261437908496732,0.26143790849673204,0.1895424836601307,0.14753747323340471,0.14518201284796575,0.14154175588865098,0.20157583716349312,0.21208141825344715,0.20288903479973736,0.21742787866792024,0.21505269929239448,0.2139145925082884,0.19490717370576027,0.19423411296202817,0.19384149419485108,0.20037965496063873,0.1989280330523142,0.1988722014404556,0.3118231046931408,0.296028880866426,0.29557761732851984
incomeNY,0.22326454033771106,0.22326454033771106,0.21975905993877753,0.22740122733227608,0.2300213748879542,0.22560849479418052,0.21929101401483925,0.22052761747732894,0.21681780708985984,0.22950819672131148,0.2786885245901639,0.21311475409836064,0.22646007151370678,0.22288438617401668,0.22288438617401668,0.0,0.0,0.0,0.18345323741007194,0.16007194244604317,0.15557553956834533,0.20704845814977973,0.23127753303964757,0.20484581497797358,0.24103722620567725,0.2418230036342206,0.2365190059915529,0.205301300506304,0.20311724411793905,0.20281941824679836,0.21760753399291044,0.22194592878683667,0.21602031638537644,0.30229120473022913,0.2756836659275684,0.2719881744271988
incomeTX,0.2101990998550614,0.2101990998550614,0.20752917842703486,0.2170010300681807,0.216265267081964,0.21616716535046843,0.2007328990228013,0.19543973941368079,0.19055374592833876,0.24074074074074073,0.24074074074074073,0.24074074074074073,0.21912350597609562,0.2,0.2,0.13636363636363635,0.3181818181818182,0.13636363636363635,0.13678905687544995,0.13606911447084233,0.1331893448524118,0.16964285714285715,0.20714285714285716,0.1732142857142857,0.22827877659193468,0.2273476112026359,0.22519876799656185,0.1896059394631639,0.18813739087868156,0.1874031165864404,0.2054600032451728,0.20760993022878468,0.20343177024176537,0.2848020434227331,0.2739463601532567,0.2720306513409962
employmentCA,0.19149813182283565,0.19149813182283565,0.1879612270134429,0.1898381275528949,0.19014069287458668,0.19001102202243306,0.1921247357293869,0.1804968287526427,0.18023255813953487,0.23017408123791103,0.22823984526112184,0.2263056092843327,0.20814004376367615,0.1950109409190372,0.19457330415754923,0.21071428571428572,0.21785714285714286,0.21071428571428572,0.19170025051737283,0.1847293323167411,0.18385796754166212,0.14991577765300393,0.16002245929253228,0.14963503649635038,0.15829750412373922,0.15683729482707337,0.1553500446175063,0.22361743316067598,0.22055668916444304,0.21951028096060274,0.19923329336782988,0.19661450116741339,0.19495803622136681,0.1500126914290549,0.15043573906421864,0.15043573906421864
employmentNY,0.18207082940261596,0.18207082940261596,0.17944468524514928,0.1766096762459076,0.17770098217533647,0.17650054565296472,0.1901840490797546,0.18325747080942015,0.18187215515535327,0.2440944881889764,0.2755905511811024,0.2283464566929134,0.2055694618272841,0.19899874843554444,0.19086357947434293,0.32,0.2,0.2,0.1966771441400988,0.1948810058374495,0.19263583295913786,0.17783985102420857,0.1871508379888268,0.18063314711359404,0.15953451467865645,0.1581063210790796,0.15805342501983602,0.20304193738924986,0.20151604646583973,0.1993502658003544,0.18768870540390659,0.18571692648961735,0.18473103703247273,0.15510867958006802,0.15510867958006802,0.15407363596037263
employmentTX,0.17854142802596412,0.17854142802596412,0.1749331806032837,0.17901859580668264,0.18378485170276343,0.17583286000049392,0.17650440781908777,0.17573783058643158,0.17209658873131467,0.19387755102040816,0.21428571428571427,0.18877551020408162,0.19856358259400084,0.20785804816223066,0.19814110688635403,0.14705882352941177,0.2647058823529412,0.17647058823529413,0.17474246470812668,0.1816100724914155,0.1648225867989317,0.14630577907827358,0.14045354791514264,0.1389904901243599,0.14122137404580154,0.13849509269356597,0.1377551020408163,0.21442480527261834,0.21352606351108447,0.21068004793289394,0.1821628898362127,0.17805698900605788,0.17798967915638322,0.15787451984635084,0.15749039692701663,0.15749039692701663
coverageCA,0.29925682386383096,0.29925682386383096,0.28925648138634885,0.2817989737398129,0.2848777543012376,0.27642619981889527,0.33810068649885583,0.33810068649885583,0.32379862700228834,0.3436293436293436,0.3204633204633205,0.3204633204633205,0.2743844696969697,0.2715435606060606,0.2705965909090909,0.32,0.416,0.264,0.36974963790606247,0.3500931098696462,0.3372646389406166,0.27225519287833827,0.30118694362017806,0.2789317507418398,0.31199938385705484,0.30976586568083797,0.3030653111521873,0.2890533456675917,0.28288621646623496,0.27819919827320383,0.31375185788095405,0.3022860782787175,0.30207374902682427,0.2856668878566689,0.2773059057730591,0.2772395487723955
coverageNY,0.2673017652003362,0.2673017652003362,0.26120762118240404,0.2256940541755648,0.22209733618073507,0.22209733618073507,0.3214756258234519,0.32059727711901626,0.31620553359683795,0.23529411764705882,0.3333333333333333,0.29411764705882354,0.35456475583864117,0.3453644727530078,0.3340410474168436,0.4,0.2,0.2,0.3637160385626643,0.3567046450482033,0.3549517966695881,0.2925764192139738,0.35807860262008734,0.28602620087336245,0.2684010152284264,0.2720494923857868,0.26221446700507617,0.266432513798294,0.26417461113898644,0.2604114400401405,0.27544215714699916,0.2731226442447086,0.26906349666570023,0.2596909731634589,0.2545405258877745,0.25386283545676336
coverageTX,0.14258809535609854,0.14258809535609854,0.1416959904842147,0.1386065792992779,0.13954265846483016,0.13773736293126504,0.1934065934065934,0.1920879120879121,0.1920879120879121,0.10843373493975904,0.24096385542168675,0.10843373493975904,0.07802197802197802,0.09230769230769231,0.07362637362637363,0.1,0.15,0.1,0.13924963924963926,0.1645021645021645,0.14357864357864358,0.15694164989939638,0.18108651911468812,0.1529175050301811,0.1472965281730222,0.14957313602731928,0.14433693796243596,0.13895716292134833,0.14141502808988765,0.13965941011235955,0.15093550747360718,0.15009929967596947,0.15009929967596947,0.13506126295947218,0.13411875589066918,0.13411875589066918
incomeCA_err,0.004122856604439229,0.004122856604439229,0.004104944441527897,0.0052948524423972465,0.005323459832855898,0.005282731733721957,0.01932639940125147,0.019817604071818373,0.019067822273883872,0.05045317331371338,0.05092316298706279,0.05092316298706279,0.010465750346361297,0.010468702284482129,0.010409197771264478,0.05702693744353721,0.06432358314653172,0.05514856738635951,0.010077421326324082,0.010006552677039982,0.009895199895650825,0.019765872000577306,0.020181346841859932,0.019818971601673036,0.005747107860994,0.005723612903088565,0.0057122537685267705,0.005864692686983558,0.005856766647796163,0.005852130486242474,0.00419628205740552,0.00418459692868664,0.004184145758119956,0.019327224044439872,0.01901347939207082,0.01900411322247969
