,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP)
adult,0.14881149806522942,0.14881149806522942,0.14792703150912107,0.15694087403598972,0.15591259640102828,0.15591259640102828,0.09881422924901186,0.10039525691699605,0.09881422924901186,0.1869373056146669,0.18677361270256998,0.18530037649369782,0.06948228882833787,0.07254768392370572,0.07016348773841961
communities,0.16541353383458646,0.16541353383458646,0.16541353383458646,0.2694300518134715,0.27461139896373055,0.2694300518134715,0.06796116504854369,0.09223300970873786,0.06796116504854369,0.2192513368983957,0.22459893048128343,0.2192513368983957,0.1179245283018868,0.1509433962264151,0.1179245283018868
compas,0.30561330561330563,0.30561330561330563,0.29799029799029797,0.306970509383378,0.30294906166219837,0.30294906166219837,0.30416068866571017,0.2926829268292683,0.2926829268292683,0.3095843935538592,0.3087362171331637,0.3070398642917727,0.2878787878787879,0.2727272727272727,0.25757575757575757
german,0.255,0.255,0.25,0.2421875,0.2734375,0.25,0.2777777777777778,0.3055555555555556,0.25,0.19047619047619047,0.20238095238095238,0.19047619047619047,0.3017241379310345,0.29310344827586204,0.29310344827586204
adult_err,0.007329114383839125,0.007329114383839125,0.007310340472775401,0.008071258883684734,0.008048700237557077,0.008048700237557077,0.015536990445314688,0.015659947338293193,0.015536990445314688,0.00976995440546033,0.00976648632277019,0.009735143129498636,0.008811516326955399,0.00900393076393978,0.008854716403060084
communities_err,0.0338444956856441,0.0338444956856441,0.0338444956856441,0.058710947891888965,0.059185743047532796,0.058710947891888965,0.02746724787377572,0.03291603621119842,0.02746724787377572,0.054282682109715735,0.054899350326822444,0.054282682109715735,0.03738043615266831,0.0426797298303101,0.03738043615266831
compas_err,0.02368907847063173,0.02368907847063173,0.02349547171099653,0.032670229485211366,0.03252508613092042,0.03252508613092042,0.03365225336125838,0.03320715350347836,0.03320715350347836,0.02624716116990683,0.02622400169420075,0.026177365635273675,0.05223972899110227,0.05112310739473894,0.04992870021355886
german_err,0.05641762416845375,0.05641762416845375,0.05592977277446498,0.06717171551071649,0.07102812394954089,0.06818181818181818,0.09172362095805495,0.09593905061617139,0.08704964612978827,0.07082365874042588,0.07319218890937601,0.07082365874042588,0.0774537029609271,0.07649423306954142,0.07649423306954142
