,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP)
adult,0.14881149806522942,0.14881149806522942,0.14737423991155335,0.15668380462724935,0.15501285347043703,0.15501285347043703,0.10039525691699605,0.11146245059288537,0.10039525691699605,0.18595514814208544,0.1874283843509576,0.18415452610901947,0.07152588555858311,0.08446866485013624,0.07084468664850137
communities,0.2907268170426065,0.2907268170426065,0.20050125313283207,0.533678756476684,0.3471502590673575,0.3471502590673575,0.06310679611650485,0.06310679611650485,0.06310679611650485,0.42245989304812837,0.2887700534759358,0.25668449197860965,0.17452830188679244,0.17452830188679244,0.1509433962264151
compas,0.30145530145530147,0.30145530145530147,0.30145530145530147,0.30160857908847183,0.30831099195710454,0.30160857908847183,0.3012912482065997,0.3012912482065997,0.3012912482065997,0.3061916878710772,0.31212892281594573,0.3061916878710772,0.2803030303030303,0.29545454545454547,0.2803030303030303
german,0.29,0.29,0.29,0.2578125,0.2578125,0.2578125,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.20238095238095238,0.20238095238095238,0.20238095238095238,0.35344827586206895,0.35344827586206895,0.35344827586206895
adult_err,0.007329114383839125,0.007329114383839125,0.0072985602116944215,0.008065630919794925,0.008028858620596296,0.008028858620596296,0.015659947338293193,0.016486258726087347,0.015659947338293193,0.009749102485213962,0.009780341336531856,0.009710601813163827,0.008940355031371736,0.009707700963219962,0.008897661512915378
communities_err,0.043210943333496926,0.043210943333496926,0.03702616853058757,0.07177236282440069,0.06480372424172642,0.06480372424172642,0.026253210272340323,0.026253210272340323,0.026253210272340323,0.0698766374358386,0.06130882913328228,0.05832146511200789,0.04597521675222613,0.04597521675222613,0.0426797298303101
compas_err,0.023584450584553218,0.023584450584553218,0.023584450584553218,0.03247603511153063,0.0327179447952366,0.03247603511153063,0.03354338873878998,0.03354338873878998,0.03354338873878998,0.026153888568271333,0.02631600824326724,0.026153888568271333,0.051690897387430546,0.05277004618173961,0.051690897387430546
german_err,0.059555030906390305,0.059555030906390305,0.059555030906390305,0.06916066450235117,0.06916066450235117,0.06916066450235117,0.10147652914488689,0.10147652914488689,0.10147652914488689,0.07319218890937601,0.07319218890937601,0.07319218890937601,0.08252937797794624,0.08252937797794624,0.08252937797794624
