,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP)
adult,0.1521282476506357,0.1521282476506357,0.1521282476506357,0.15719794344473006,0.16426735218508998,0.15719794344473006,0.12094861660079051,0.12173913043478261,0.12094861660079051,0.18759207726305452,0.19184809297757408,0.18759207726305452,0.07833787465940055,0.08685286103542235,0.07833787465940055
communities,0.19298245614035087,0.19298245614035087,0.18796992481203006,0.3316062176165803,0.38341968911917096,0.3160621761658031,0.06310679611650485,0.0970873786407767,0.06796116504854369,0.25133689839572193,0.24598930481283424,0.24598930481283424,0.14150943396226415,0.13679245283018868,0.13679245283018868
compas,0.37075537075537074,0.37075537075537074,0.3672903672903673,0.3739946380697051,0.3753351206434316,0.3753351206434316,0.3672883787661406,0.3802008608321377,0.3586800573888092,0.3748939779474131,0.3850720949957591,0.3748939779474131,0.3522727272727273,0.3333333333333333,0.3333333333333333
german,0.26,0.26,0.26,0.234375,0.359375,0.234375,0.3055555555555556,0.4027777777777778,0.3055555555555556,0.2261904761904762,0.2261904761904762,0.2261904761904762,0.28448275862068967,0.35344827586206895,0.28448275862068967
adult_err,0.007398710485909732,0.007398710485909732,0.007398710485909732,0.008076879075130494,0.008228446660266009,0.008076879075130494,0.017150706457578796,0.017204395446226248,0.017150706457578796,0.009783797884251155,0.00987266681944693,0.009783797884251155,0.009354141824005568,0.009840777539264892,0.009354141824005568
communities_err,0.036387370724788676,0.036387370724788676,0.035949074453116986,0.0637527581397645,0.06695666797541083,0.06262125951598435,0.026253210272340323,0.03390238665429454,0.02746724787377572,0.05778273010140997,0.057231711135496216,0.057231711135496216,0.04125476918514662,0.04051704776233139,0.04051704776233139
compas_err,0.025040295290785997,0.025040295290785997,0.024981408773314617,0.03467066158334048,0.034703019833500215,0.034703019833500215,0.03566536567367118,0.03599211496119126,0.03543205208422501,0.027729536587773218,0.02790979003084665,0.027729536587773218,0.05619445780613225,0.05515736430973367,0.05515736430973367
german_err,0.05689520812707846,0.05689520812707846,0.05689520812707846,0.06612937889229598,0.07937273547658946,0.06612937889229598,0.09593905061617139,0.107517830746166,0.09593905061617139,0.07761372593884061,0.07761372593884061,0.07761372593884061,0.0755003457376473,0.08252937797794624,0.0755003457376473
