,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP)
adult,0.17468214483139857,0.17468214483139857,0.17357656163626312,0.18419023136246787,0.18419023136246787,0.18303341902313625,0.11620553359683794,0.11620553359683794,0.11541501976284585,0.21951219512195122,0.21869373056146668,0.21869373056146668,0.08140326975476839,0.08038147138964577,0.07970027247956403
communities,0.20050125313283207,0.20050125313283207,0.18796992481203006,0.3471502590673575,0.35751295336787564,0.3160621761658031,0.06310679611650485,0.06796116504854369,0.06796116504854369,0.23529411764705882,0.20855614973262032,0.20855614973262032,0.16981132075471697,0.17452830188679244,0.16981132075471697
compas,0.3361053361053361,0.3361053361053361,0.3201663201663202,0.3418230563002681,0.32171581769436997,0.32171581769436997,0.3299856527977044,0.3299856527977044,0.31850789096126253,0.3384223918575064,0.3384223918575064,0.3256997455470738,0.32575757575757575,0.3143939393939394,0.29545454545454547
german,0.295,0.295,0.28,0.28125,0.2578125,0.2578125,0.3194444444444444,0.3888888888888889,0.3194444444444444,0.2261904761904762,0.21428571428571427,0.20238095238095238,0.3448275862068966,0.3620689655172414,0.33620689655172414
adult_err,0.007840463837018252,0.007840463837018252,0.007820012749204908,0.008626529547911516,0.008626529547911516,0.00860452018731167,0.016823234255376532,0.016823234255376532,0.016767745223779565,0.010406085843564145,0.010391344040336203,0.010391344040336203,0.00953302806288385,0.009473878213324405,0.009434180989831356
communities_err,0.03702616853058757,0.03702616853058757,0.035949074453116986,0.06480372424172642,0.06546092325179459,0.06262125951598435,0.026253210272340323,0.02746724787377572,0.02746724787377572,0.05609176402138594,0.053006675991590035,0.053006675991590035,0.045344549703716305,0.04597521675222613,0.045344549703716305
compas_err,0.0243871498942011,0.0243871498942011,0.02403720055973163,0.0338061414704226,0.03317708849218226,0.03317708849218226,0.03456210794485931,0.03456210794485931,0.034173037973357856,0.026973334738219945,0.026973334738219945,0.02666742938184613,0.05471398922706355,0.0540174722703865,0.05277004618173961
german_err,0.0599655343672478,0.0599655343672478,0.058706504627404704,0.07191833845957471,0.06916066450235117,0.06916066450235117,0.0978860632751049,0.10614454972050036,0.0978860632751049,0.07761372593884061,0.07545349657062489,0.07319218890937601,0.08176130385642433,0.08326757363765974,0.0809628526860392
