,0 (ERM),0 (G-ERM),0 (PREP),1 (ERM),1 (G-ERM),1 (PREP),2 (ERM),2 (G-ERM),2 (PREP),3 (ERM),3 (G-ERM),3 (PREP),4 (ERM),4 (G-ERM),4 (PREP)
adult,0.1589828634604754,0.1589828634604754,0.15798783858485352,0.16748071979434448,0.16748071979434448,0.16645244215938304,0.1067193675889328,0.1075098814229249,0.10592885375494071,0.1998690456703225,0.19905058110983795,0.19905058110983795,0.0739100817438692,0.07356948228882834,0.07254768392370572
communities,0.17293233082706766,0.17293233082706766,0.16791979949874686,0.2849740932642487,0.3626943005181347,0.2694300518134715,0.06796116504854369,0.0825242718446602,0.07281553398058252,0.22459893048128343,0.21390374331550802,0.21390374331550802,0.12735849056603774,0.1650943396226415,0.12735849056603774
compas,0.31392931392931395,0.31392931392931395,0.3042273042273042,0.3351206434316354,0.33109919571045576,0.33109919571045576,0.29124820659971307,0.27546628407460544,0.27546628407460544,0.31806615776081426,0.3104325699745547,0.3087362171331637,0.29545454545454547,0.30303030303030304,0.2840909090909091
german,0.27,0.27,0.27,0.25,0.28125,0.25,0.3055555555555556,0.4027777777777778,0.3055555555555556,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.3275862068965517,0.3793103448275862,0.3275862068965517
adult_err,0.007538627395512004,0.007538627395512004,0.007518636403436335,0.008295484452932739,0.008295484452932739,0.008274155759221052,0.01613925159800958,0.016197806868120293,0.016080401530520178,0.010035036290701238,0.01001876736674337,0.01001876736674337,0.009087847965051382,0.009066958617493528,0.00900393076393978
communities_err,0.03457111251262737,0.03457111251262737,0.034089615875279033,0.06010413425306699,0.06577674898651481,0.058710947891888965,0.02746724787377572,0.030847627124794275,0.028635131650758733,0.054899350326822444,0.05365191440729419,0.05365191440729419,0.03898754546289317,0.04470014054040308,0.03898754546289317
compas_err,0.023891410496446774,0.023891410496446774,0.023654461208765964,0.033604246145411354,0.03347939659250271,0.03347939659250271,0.033149690668571874,0.03249004156749141,0.03249004156749141,0.026472998313957774,0.026270215262330643,0.02622400169420075,0.05277004618173961,0.053282261168889455,0.05196765446345916
german_err,0.057820318922558206,0.057820318922558206,0.057820318922558206,0.06818181818181818,0.07191833845957471,0.06818181818181818,0.09593905061617139,0.107517830746166,0.09593905061617139,0.07082365874042588,0.07967823808675337,0.07082365874042588,0.08013348212652016,0.08465612219304991,0.08013348212652016
