,0,1,2,3,4
RandomForest16 (PREP),0.17293233082706766,0.3005181347150259,0.05339805825242718,0.2192513368983957,0.1320754716981132
RandomForest (ERM),0.16541353383458646,0.2849740932642487,0.05339805825242718,0.2192513368983957,0.1179245283018868
RandomForest (G-ERM),0.16541353383458646,0.3005181347150259,0.06796116504854369,0.21390374331550802,0.13679245283018868
RandomForest (PREP),0.16290726817042606,0.2694300518134715,0.06310679611650485,0.21390374331550802,0.1179245283018868
XGBoost (ERM),0.19799498746867167,0.3471502590673575,0.05825242718446602,0.27807486631016043,0.12735849056603774
XGBoost (G-ERM),0.19799498746867167,0.3160621761658031,0.05825242718446602,0.21390374331550802,0.14622641509433962
XGBoost (PREP),0.16791979949874686,0.2849740932642487,0.05825242718446602,0.21390374331550802,0.12735849056603774
MLP (ERM),0.2907268170426065,0.533678756476684,0.06310679611650485,0.42245989304812837,0.17452830188679244
MLP (G-ERM),0.2907268170426065,0.3471502590673575,0.06310679611650485,0.2887700534759358,0.17452830188679244
MLP (PREP),0.20050125313283207,0.3471502590673575,0.06310679611650485,0.25668449197860965,0.1509433962264151
LogisticRegression (ERM) err,0.03480758822834687,0.060982048702387964,0.026253210272340323,0.054282682109715735,0.04051704776233139
LogisticRegression (G-ERM) err,0.03480758822834687,0.0577292377975121,0.02746724787377572,0.054282682109715735,0.04125476918514662
LogisticRegression (PREP) err,0.033091012184713525,0.0577292377975121,0.026253210272340323,0.053006675991590035,0.03654541070220668
SVMClassifier (ERM) err,0.0338444956856441,0.058710947891888965,0.02746724787377572,0.054282682109715735,0.03738043615266831
SVMClassifier (G-ERM) err,0.0338444956856441,0.059185743047532796,0.03291603621119842,0.054899350326822444,0.0426797298303101
SVMClassifier (PREP) err,0.0338444956856441,0.058710947891888965,0.02746724787377572,0.054282682109715735,0.03738043615266831
DecisionTree2 (ERM) err,0.03702616853058757,0.06480372424172642,0.026253210272340323,0.05609176402138594,0.045344549703716305
DecisionTree2 (G-ERM) err,0.03702616853058757,0.06546092325179459,0.02746724787377572,0.053006675991590035,0.04597521675222613
DecisionTree2 (PREP) err,0.035949074453116986,0.06262125951598435,0.02746724787377572,0.053006675991590035,0.045344549703716305
DecisionTree4 (ERM) err,0.03457111251262737,0.06010413425306699,0.02746724787377572,0.054899350326822444,0.03898754546289317
DecisionTree4 (G-ERM) err,0.03457111251262737,0.06577674898651481,0.030847627124794275,0.05365191440729419,0.04470014054040308
DecisionTree4 (PREP) err,0.034089615875279033,0.058710947891888965,0.028635131650758733,0.05365191440729419,0.03898754546289317
DecisionTree8 (ERM) err,0.03744000809504244,0.06513660905898694,0.02746724787377572,0.057231711135496216,0.045344549703716305
DecisionTree8 (G-ERM) err,0.03744000809504244,0.06695666797541083,0.03291603621119842,0.05778273010140997,0.04336823785739795
DecisionTree8 (PREP) err,0.036815674702290135,0.06480372424172642,0.02498836999097996,0.057231711135496216,0.04336823785739795
DecisionTree16 (ERM) err,0.036387370724788676,0.0637527581397645,0.026253210272340323,0.05778273010140997,0.04125476918514662
DecisionTree16 (G-ERM) err,0.036387370724788676,0.06695666797541083,0.03390238665429454,0.057231711135496216,0.04051704776233139
DecisionTree16 (PREP) err,0.035949074453116986,0.06262125951598435,0.02746724787377572,0.057231711135496216,0.04051704776233139
DecisionTree (ERM) err,0.0376434180255055,0.06513660905898694,0.028635131650758733,0.05832146511200789,0.04470014054040308
DecisionTree (G-ERM) err,0.0376434180255055,0.06723114329890206,0.035789264306457944,0.059363055529608966,0.04336823785739795
DecisionTree (PREP) err,0.037234268796125486,0.06513660905898694,0.026253210272340323,0.05832146511200789,0.04336823785739795
RandomForest2 (ERM) err,0.03702616853058757,0.06480372424172642,0.026253210272340323,0.05609176402138594,0.045344549703716305
RandomForest2 (G-ERM) err,0.03702616853058757,0.06546092325179459,0.02746724787377572,0.053006675991590035,0.04597521675222613
RandomForest2 (PREP) err,0.035949074453116986,0.06262125951598435,0.02746724787377572,0.053006675991590035,0.045344549703716305
RandomForest4 (ERM) err,0.03457111251262737,0.06010413425306699,0.02746724787377572,0.054899350326822444,0.03898754546289317
RandomForest4 (G-ERM) err,0.03457111251262737,0.06577674898651481,0.030847627124794275,0.05365191440729419,0.04470014054040308
RandomForest4 (PREP) err,0.034089615875279033,0.058710947891888965,0.028635131650758733,0.05365191440729419,0.03898754546289317
RandomForest8 (ERM) err,0.037234268796125486,0.06480372424172642,0.02746724787377572,0.057231711135496216,0.04470014054040308
RandomForest8 (G-ERM) err,0.037234268796125486,0.06608416425908786,0.031898525916391876,0.06035829973440471,0.04336823785739795
RandomForest8 (PREP) err,0.036815674702290135,0.06480372424172642,0.02498836999097996,0.057231711135496216,0.04336823785739795
RandomForest16 (ERM) err,0.035726085815139724,0.06182071888818516,0.028635131650758733,0.054282682109715735,0.04336823785739795
RandomForest16 (G-ERM) err,0.035726085815139724,0.06667405549406918,0.035789264306457944,0.0626539528554321,0.03976156512167482
RandomForest16 (PREP) err,0.03457111251262737,0.06140621704808916,0.023667173949371154,0.054282682109715735,0.03976156512167482
RandomForest (ERM) err,0.0338444956856441,0.06010413425306699,0.023667173949371154,0.054282682109715735,0.03738043615266831
RandomForest (G-ERM) err,0.0338444956856441,0.06140621704808916,0.02746724787377572,0.05365191440729419,0.04051704776233139
RandomForest (PREP) err,0.03359639164017997,0.058710947891888965,0.026253210272340323,0.05365191440729419,0.03738043615266831
XGBoost (ERM) err,0.036815674702290135,0.06480372424172642,0.02498836999097996,0.06035829973440471,0.03898754546289317
XGBoost (G-ERM) err,0.036815674702290135,0.06262125951598435,0.02498836999097996,0.05365191440729419,0.041975443517902694
XGBoost (PREP) err,0.034089615875279033,0.06010413425306699,0.02498836999097996,0.05365191440729419,0.03898754546289317
MLP (ERM) err,0.043210943333496926,0.07177236282440069,0.026253210272340323,0.0698766374358386,0.04597521675222613
MLP (G-ERM) err,0.043210943333496926,0.06480372424172642,0.026253210272340323,0.06130882913328228,0.04597521675222613
MLP (PREP) err,0.03702616853058757,0.06480372424172642,0.026253210272340323,0.05832146511200789,0.0426797298303101
