,0,1,2,3,4
LogisticRegression (ERM),0.306999306999307,0.30831099195710454,0.30559540889526543,0.3112807463952502,0.2878787878787879
LogisticRegression (G-ERM),0.306999306999307,0.31233243967828417,0.28694404591104733,0.30788804071246817,0.2803030303030303
LogisticRegression (PREP),0.29799029799029797,0.30831099195710454,0.28694404591104733,0.3044953350296862,0.2689393939393939
SVMClassifier (ERM),0.30561330561330563,0.306970509383378,0.30416068866571017,0.3095843935538592,0.2878787878787879
SVMClassifier (G-ERM),0.30561330561330563,0.30294906166219837,0.2926829268292683,0.3087362171331637,0.2727272727272727
SVMClassifier (PREP),0.29799029799029797,0.30294906166219837,0.2926829268292683,0.3070398642917727,0.25757575757575757
DecisionTree2 (ERM),0.3361053361053361,0.3418230563002681,0.3299856527977044,0.3384223918575064,0.32575757575757575
DecisionTree2 (G-ERM),0.3361053361053361,0.32171581769436997,0.3299856527977044,0.3384223918575064,0.3143939393939394
DecisionTree2 (PREP),0.3201663201663202,0.32171581769436997,0.31850789096126253,0.3256997455470738,0.29545454545454547
DecisionTree4 (ERM),0.31392931392931395,0.3351206434316354,0.29124820659971307,0.31806615776081426,0.29545454545454547
DecisionTree4 (G-ERM),0.31392931392931395,0.33109919571045576,0.27546628407460544,0.3104325699745547,0.30303030303030304
DecisionTree4 (PREP),0.3042273042273042,0.33109919571045576,0.27546628407460544,0.3087362171331637,0.2840909090909091
DecisionTree8 (ERM),0.32986832986832987,0.32171581769436997,0.3385939741750359,0.3299406276505513,0.32954545454545453
DecisionTree8 (G-ERM),0.32986832986832987,0.3190348525469169,0.32568149210903874,0.33078880407124683,0.2878787878787879
DecisionTree8 (PREP),0.31392931392931395,0.31501340482573725,0.3127690100430416,0.3197625106022053,0.2878787878787879
DecisionTree16 (ERM),0.37075537075537074,0.3739946380697051,0.3672883787661406,0.3748939779474131,0.3522727272727273
DecisionTree16 (G-ERM),0.37075537075537074,0.3753351206434316,0.3802008608321377,0.3850720949957591,0.3333333333333333
DecisionTree16 (PREP),0.3672903672903673,0.3753351206434316,0.3586800573888092,0.3748939779474131,0.3333333333333333
DecisionTree (ERM),0.3853083853083853,0.3914209115281501,0.3787661406025825,0.39016115351993214,0.36363636363636365
DecisionTree (G-ERM),0.3853083853083853,0.3806970509383378,0.37733142037302725,0.3927056827820187,0.3409090909090909
DecisionTree (PREP),0.3756063756063756,0.3806970509383378,0.3701578192252511,0.3850720949957591,0.3333333333333333
RandomForest2 (ERM),0.3361053361053361,0.3418230563002681,0.3299856527977044,0.3384223918575064,0.32575757575757575
RandomForest2 (G-ERM),0.3361053361053361,0.32171581769436997,0.3299856527977044,0.3384223918575064,0.3143939393939394
RandomForest2 (PREP),0.3201663201663202,0.32171581769436997,0.31850789096126253,0.3256997455470738,0.29545454545454547
RandomForest4 (ERM),0.31392931392931395,0.3351206434316354,0.29124820659971307,0.31806615776081426,0.29545454545454547
RandomForest4 (G-ERM),0.31392931392931395,0.33109919571045576,0.27546628407460544,0.3104325699745547,0.30303030303030304
RandomForest4 (PREP),0.3042273042273042,0.33109919571045576,0.27546628407460544,0.3087362171331637,0.2840909090909091
RandomForest8 (ERM),0.32986832986832987,0.32439678284182305,0.3357245337159254,0.3299406276505513,0.32954545454545453
RandomForest8 (G-ERM),0.32986832986832987,0.3190348525469169,0.3299856527977044,0.33163698049194235,0.2878787878787879
RandomForest8 (PREP),0.32224532224532226,0.31501340482573725,0.3299856527977044,0.3299406276505513,0.2878787878787879
RandomForest16 (ERM),0.3749133749133749,0.3806970509383378,0.36872309899569583,0.3816793893129771,0.3446969696969697
RandomForest16 (G-ERM),0.3749133749133749,0.3739946380697051,0.38880918220946914,0.3850720949957591,0.32196969696969696
RandomForest16 (PREP),0.3665973665973666,0.37131367292225204,0.3615494978479197,0.37659033078880405,0.32196969696969696
RandomForest (ERM),0.3645183645183645,0.36595174262734587,0.3629842180774749,0.37319762510602206,0.32575757575757575
RandomForest (G-ERM),0.3645183645183645,0.3672922252010724,0.3601147776183644,0.3706530958439355,0.3181818181818182
RandomForest (PREP),0.35828135828135826,0.35924932975871315,0.35724533715925394,0.3672603901611535,0.3181818181818182
XGBoost (ERM),0.3194733194733195,0.3297587131367292,0.3084648493543759,0.3189143341815098,0.32196969696969696
XGBoost (G-ERM),0.3194733194733195,0.34048257372654156,0.3113342898134864,0.3299406276505513,0.2916666666666667
XGBoost (PREP),0.31392931392931395,0.31769436997319034,0.3098995695839311,0.3189143341815098,0.2916666666666667
MLP (ERM),0.30145530145530147,0.30160857908847183,0.3012912482065997,0.3061916878710772,0.2803030303030303
MLP (G-ERM),0.30145530145530147,0.30831099195710454,0.3012912482065997,0.31212892281594573,0.29545454545454547
MLP (PREP),0.30145530145530147,0.30160857908847183,0.3012912482065997,0.3061916878710772,0.2803030303030303
LogisticRegression (ERM) err,0.02372343834842039,0.0327179447952366,0.03370609036900013,0.0262931642084408,0.05223972899110227
LogisticRegression (G-ERM) err,0.02372343834842039,0.032859110052237905,0.03297482670164126,0.02620073659628841,0.051690897387430546
LogisticRegression (PREP) err,0.02349547171099653,0.0327179447952366,0.03297482670164126,0.02610661513471374,0.05083195488680148
SVMClassifier (ERM) err,0.02368907847063173,0.032670229485211366,0.03365225336125838,0.02624716116990683,0.05223972899110227
SVMClassifier (G-ERM) err,0.02368907847063173,0.03252508613092042,0.03320715350347836,0.02622400169420075,0.05112310739473894
SVMClassifier (PREP) err,0.02349547171099653,0.03252508613092042,0.03320715350347836,0.026177365635273675,0.04992870021355886
