,0,1,2,3,4
DecisionTree16 (G-ERM) err,0.05689520812707846,0.07937273547658946,0.107517830746166,0.07761372593884061,0.08252937797794624
DecisionTree16 (PREP) err,0.05689520812707846,0.06612937889229598,0.09593905061617139,0.07761372593884061,0.0755003457376473
DecisionTree (ERM) err,0.05440257282068997,0.06505374612088347,0.08704964612978827,0.07319218890937601,0.07230287921756487
DecisionTree (G-ERM) err,0.05440257282068997,0.07739844404538876,0.10468114819268265,0.07761372593884061,0.08252937797794624
DecisionTree (PREP) err,0.05440257282068997,0.06505374612088347,0.08704964612978827,0.07319218890937601,0.07230287921756487
RandomForest2 (ERM) err,0.0599655343672478,0.07191833845957471,0.0978860632751049,0.07761372593884061,0.08176130385642433
RandomForest2 (G-ERM) err,0.0599655343672478,0.06916066450235117,0.10614454972050036,0.07545349657062489,0.08326757363765974
RandomForest2 (PREP) err,0.058706504627404704,0.06916066450235117,0.0978860632751049,0.07319218890937601,0.0809628526860392
RandomForest4 (ERM) err,0.057820318922558206,0.06818181818181818,0.09593905061617139,0.07082365874042588,0.08013348212652016
RandomForest4 (G-ERM) err,0.057820318922558206,0.07102812394954089,0.107517830746166,0.07967823808675337,0.08530727795914206
RandomForest4 (PREP) err,0.057820318922558206,0.06818181818181818,0.09593905061617139,0.07082365874042588,0.08013348212652016
RandomForest8 (ERM) err,0.055431455255634254,0.06612937889229598,0.08944651739184445,0.06299787940706121,0.07837957473250862
RandomForest8 (G-ERM) err,0.055431455255634254,0.0759612776527934,0.10147652914488689,0.05707833759519332,0.08530727795914206
RandomForest8 (PREP) err,0.05440257282068997,0.0639436608701098,0.08944651739184445,0.05707833759519332,0.07837957473250862
RandomForest16 (ERM) err,0.05592977277446498,0.0639436608701098,0.09593905061617139,0.07082365874042588,0.07649423306954142
RandomForest16 (G-ERM) err,0.05592977277446498,0.0759612776527934,0.10614454972050036,0.07967823808675337,0.08593016531434922
RandomForest16 (PREP) err,0.05592977277446498,0.0639436608701098,0.09593905061617139,0.07082365874042588,0.07649423306954142
RandomForest (ERM) err,0.05592977277446498,0.06505374612088347,0.09388625515685894,0.06834082007169623,0.0774537029609271
RandomForest (G-ERM) err,0.05592977277446498,0.06717171551071649,0.09388625515685894,0.07319218890937601,0.07230287921756487
RandomForest (PREP) err,0.05332915956230852,0.059131705591950134,0.09388625515685894,0.06834082007169623,0.07230287921756487
XGBoost (ERM) err,0.05592977277446498,0.06505374612088347,0.09388625515685894,0.07545349657062489,0.07447115069894392
XGBoost (G-ERM) err,0.05592977277446498,0.0759612776527934,0.09388625515685894,0.08534179085414348,0.07649423306954142
XGBoost (PREP) err,0.05592977277446498,0.06505374612088347,0.09388625515685894,0.07545349657062489,0.07447115069894392
MLP (ERM) err,0.059555030906390305,0.06916066450235117,0.10147652914488689,0.07319218890937601,0.08252937797794624
MLP (G-ERM) err,0.059555030906390305,0.06916066450235117,0.10147652914488689,0.07319218890937601,0.08252937797794624
MLP (PREP) err,0.059555030906390305,0.06916066450235117,0.10147652914488689,0.07319218890937601,0.08252937797794624
