,0,1,2,3,4
LogisticRegression (ERM),0.1490326147042565,0.15668380462724935,0.10197628458498023,0.18677361270256998,0.07050408719346049
LogisticRegression (G-ERM),0.1490326147042565,0.15694087403598972,0.10197628458498023,0.18677361270256998,0.07356948228882834
LogisticRegression (PREP),0.1490326147042565,0.15668380462724935,0.10197628458498023,0.18677361270256998,0.07050408719346049
SVMClassifier (ERM),0.14881149806522942,0.15694087403598972,0.09881422924901186,0.1869373056146669,0.06948228882833787
SVMClassifier (G-ERM),0.14881149806522942,0.15591259640102828,0.10039525691699605,0.18677361270256998,0.07254768392370572
SVMClassifier (PREP),0.14792703150912107,0.15591259640102828,0.09881422924901186,0.18530037649369782,0.07016348773841961
DecisionTree2 (ERM),0.17468214483139857,0.18419023136246787,0.11620553359683794,0.21951219512195122,0.08140326975476839
DecisionTree2 (G-ERM),0.17468214483139857,0.18419023136246787,0.11620553359683794,0.21869373056146668,0.08038147138964577
DecisionTree2 (PREP),0.17357656163626312,0.18303341902313625,0.11541501976284585,0.21869373056146668,0.07970027247956403
DecisionTree4 (ERM),0.1589828634604754,0.16748071979434448,0.1067193675889328,0.1998690456703225,0.0739100817438692
DecisionTree4 (G-ERM),0.1589828634604754,0.16748071979434448,0.1075098814229249,0.19905058110983795,0.07356948228882834
DecisionTree4 (PREP),0.15798783858485352,0.16645244215938304,0.10592885375494071,0.19905058110983795,0.07254768392370572
DecisionTree8 (ERM),0.14792703150912107,0.15616966580976863,0.09723320158102766,0.18628253396627925,0.0681198910081744
DecisionTree8 (G-ERM),0.14792703150912107,0.15359897172236503,0.10118577075098814,0.18628253396627925,0.07186648501362398
DecisionTree8 (PREP),0.14571586511885018,0.15359897172236503,0.09723320158102766,0.18251759698805042,0.069141689373297
DecisionTree16 (ERM),0.1521282476506357,0.15719794344473006,0.12094861660079051,0.18759207726305452,0.07833787465940055
DecisionTree16 (G-ERM),0.1521282476506357,0.16426735218508998,0.12173913043478261,0.19184809297757408,0.08685286103542235
DecisionTree16 (PREP),0.1521282476506357,0.15719794344473006,0.12094861660079051,0.18759207726305452,0.07833787465940055
DecisionTree (ERM),0.17899391929242675,0.18624678663239075,0.13438735177865613,0.22294974627598624,0.08753405994550409
DecisionTree (G-ERM),0.17899391929242675,0.19755784061696657,0.13043478260869565,0.2344082501227697,0.09775204359673025
DecisionTree (PREP),0.17844112769485904,0.18624678663239075,0.13043478260869565,0.22245866753969554,0.08685286103542235
RandomForest2 (ERM),0.17468214483139857,0.18419023136246787,0.11620553359683794,0.21951219512195122,0.08140326975476839
RandomForest2 (G-ERM),0.17468214483139857,0.18419023136246787,0.11620553359683794,0.21869373056146668,0.08038147138964577
RandomForest2 (PREP),0.17357656163626312,0.18303341902313625,0.11541501976284585,0.21869373056146668,0.07970027247956403
RandomForest4 (ERM),0.1589828634604754,0.16748071979434448,0.1067193675889328,0.1998690456703225,0.0739100817438692
RandomForest4 (G-ERM),0.1589828634604754,0.16748071979434448,0.1075098814229249,0.19905058110983795,0.07356948228882834
RandomForest4 (PREP),0.15798783858485352,0.16645244215938304,0.10592885375494071,0.19905058110983795,0.07254768392370572
RandomForest8 (ERM),0.14792703150912107,0.15616966580976863,0.09723320158102766,0.18611884105418236,0.06846049046321526
RandomForest8 (G-ERM),0.14792703150912107,0.15347043701799487,0.10118577075098814,0.18628253396627925,0.07152588555858311
RandomForest8 (PREP),0.14560530679933664,0.15347043701799487,0.09723320158102766,0.1823539040759535,0.069141689373297
RandomForest16 (ERM),0.15201768933112217,0.15719794344473006,0.12015810276679842,0.18759207726305452,0.07799727520435967
RandomForest16 (G-ERM),0.15201768933112217,0.1646529562982005,0.1233201581027668,0.19135701424128335,0.0885558583106267
RandomForest16 (PREP),0.15201768933112217,0.15719794344473006,0.12015810276679842,0.18759207726305452,0.07799727520435967
RandomForest (ERM),0.15002763957987839,0.15925449871465297,0.0932806324110672,0.1905385496807988,0.06573569482288828
RandomForest (G-ERM),0.15002763957987839,0.15925449871465297,0.09644268774703557,0.19070224259289573,0.06743869209809264
RandomForest (PREP),0.15002763957987839,0.15925449871465297,0.0932806324110672,0.1905385496807988,0.06573569482288828
XGBoost (ERM),0.12570480928689884,0.13200514138817482,0.08695652173913043,0.15730888852512687,0.05994550408719346
XGBoost (G-ERM),0.12570480928689884,0.13624678663239073,0.10276679841897234,0.16467506956948763,0.06505449591280654
XGBoost (PREP),0.12570480928689884,0.13200514138817482,0.08695652173913043,0.15730888852512687,0.05994550408719346
MLP (ERM),0.14881149806522942,0.15668380462724935,0.10039525691699605,0.18595514814208544,0.07152588555858311
MLP (G-ERM),0.14881149806522942,0.15501285347043703,0.11146245059288537,0.1874283843509576,0.08446866485013624
MLP (PREP),0.14737423991155335,0.15501285347043703,0.10039525691699605,0.18415452610901947,0.07084468664850137
LogisticRegression (ERM) err,0.007333793599376831,0.008065630919794925,0.0157816262977174,0.00976648632277019,0.008876220615958733
LogisticRegression (G-ERM) err,0.007333793599376831,0.008071258883684734,0.0157816262977174,0.00976648632277019,0.009066958617493528
LogisticRegression (PREP) err,0.007333793599376831,0.008065630919794925,0.0157816262977174,0.00976648632277019,0.008876220615958733
SVMClassifier (ERM) err,0.007329114383839125,0.008071258883684734,0.015536990445314688,0.00976995440546033,0.008811516326955399
SVMClassifier (G-ERM) err,0.007329114383839125,0.008048700237557077,0.015659947338293193,0.00976648632277019,0.00900393076393978
SVMClassifier (PREP) err,0.007310340472775401,0.008048700237557077,0.015536990445314688,0.009735143129498636,0.008854716403060084
