,0,1,2,3,4,5,6,7,8,9,10,11
LogisticRegression (ERM),0.1513108985478515,0.14582776143353837,0.2145054945054945,0.18072289156626506,0.08021978021978023,0.25,0.1443001443001443,0.15694164989939638,0.16004553215708595,0.1445751404494382,0.15292150099299676,0.14985862393967955
LogisticRegression (G-ERM),0.1513108985478515,0.14716501738432736,0.20527472527472526,0.21686746987951808,0.09010989010989011,0.2,0.15367965367965367,0.16901408450704225,0.15799658508821857,0.14518960674157302,0.15553465036061462,0.1472196041470311
LogisticRegression (PREP),0.14863458393220003,0.1439556031024338,0.20527472527472526,0.20481927710843373,0.07692307692307693,0.2,0.1406926406926407,0.158953722334004,0.15719977233921456,0.14202949438202248,0.15145813734713076,0.1460885956644675
SVMClassifier (ERM),0.15368984487287504,0.14963894089328697,0.20659340659340658,0.18072289156626506,0.08021978021978023,0.25,0.14502164502164502,0.16901408450704225,0.16209447922595333,0.14720856741573032,0.15302602696770148,0.15428840716305373
SVMClassifier (G-ERM),0.15368984487287504,0.1509093340465365,0.2043956043956044,0.2289156626506024,0.09340659340659341,0.2,0.15151515151515152,0.16700201207243462,0.15902105862265226,0.14615519662921347,0.1546984425629769,0.14976437323279926
SVMClassifier (PREP),0.1508648461119096,0.146964428991709,0.20307692307692307,0.18072289156626506,0.08021978021978023,0.2,0.14285714285714285,0.16096579476861167,0.15902105862265226,0.1445751404494382,0.15271244904358733,0.14919886899151744
DecisionTree2 (ERM),0.16300738464588393,0.1586654185611126,0.2175824175824176,0.1686746987951807,0.08461538461538462,0.25,0.16017316017316016,0.18309859154929578,0.16903813318155947,0.1583567415730337,0.16494198808403887,0.16126295947219604
DecisionTree2 (G-ERM),0.16300738464588393,0.1586654185611126,0.20703296703296703,0.18072289156626506,0.08901098901098901,0.15,0.16017316017316016,0.18712273641851107,0.16903813318155947,0.1583567415730337,0.1635831504128776,0.16361922714420357
DecisionTree2 (PREP),0.1602815086484611,0.15766247659802085,0.20175824175824175,0.1686746987951807,0.08571428571428572,0.15,0.15800865800865802,0.18309859154929578,0.1628912919749573,0.1582689606741573,0.1621197867670116,0.1586239396795476
DecisionTree4 (ERM),0.14521484858997868,0.14074618882054024,0.1986813186813187,0.12048192771084337,0.07912087912087912,0.15,0.1414141414141414,0.16297786720321933,0.1487763232783153,0.1424683988764045,0.15448939061356748,0.13685202639019792
DecisionTree4 (G-ERM),0.14521484858997868,0.14074618882054024,0.20351648351648352,0.1566265060240964,0.08021978021978023,0.15,0.14646464646464646,0.16901408450704225,0.14843483210017075,0.14325842696629212,0.15145813734713076,0.13261074458058436
DecisionTree4 (PREP),0.1414977449571294,0.13693500936079164,0.19692307692307692,0.12048192771084337,0.07582417582417582,0.15,0.13997113997113997,0.14688128772635814,0.14297097324985772,0.14036165730337077,0.15145813734713076,0.13251649387370407
DecisionTree8 (ERM),0.14258809535609854,0.1386065792992779,0.1934065934065934,0.10843373493975904,0.07802197802197802,0.1,0.13924963924963926,0.15694164989939638,0.1472965281730222,0.13895716292134833,0.15093550747360718,0.13506126295947218
DecisionTree8 (G-ERM),0.14258809535609854,0.13954265846483016,0.1920879120879121,0.24096385542168675,0.09230769230769231,0.15,0.1645021645021645,0.18108651911468812,0.14957313602731928,0.14141502808988765,0.15009929967596947,0.13411875589066918
DecisionTree8 (PREP),0.1416959904842147,0.13773736293126504,0.1920879120879121,0.10843373493975904,0.07362637362637363,0.1,0.14357864357864358,0.1529175050301811,0.14433693796243596,0.13965941011235955,0.15009929967596947,0.13411875589066918
DecisionTree16 (ERM),0.15141002131139417,0.14796737095480075,0.18945054945054945,0.13253012048192772,0.09230769230769231,0.15,0.15584415584415584,0.1750503018108652,0.15480933409220263,0.14878862359550563,0.16065642312114561,0.14307257304429782
DecisionTree16 (G-ERM),0.15141002131139417,0.1510430596416154,0.21186813186813186,0.21686746987951808,0.12417582417582418,0.35,0.1976911976911977,0.20724346076458752,0.16198064883323848,0.15475772471910113,0.16922755304693216,0.15457115928369464
DecisionTree16 (PREP),0.15141002131139417,0.14796737095480075,0.18945054945054945,0.13253012048192772,0.09230769230769231,0.15,0.15584415584415584,0.1750503018108652,0.15480933409220263,0.14878862359550563,0.16065642312114561,0.14307257304429782
DecisionTree (ERM),0.18535956782475096,0.18099759293928858,0.22021978021978023,0.21686746987951808,0.12527472527472527,0.2,0.1976911976911977,0.22132796780684105,0.18212862834376778,0.18785112359550563,0.18699696874673355,0.18388312912346844
DecisionTree (G-ERM),0.18535956782475096,0.17818935544263173,0.22593406593406593,0.26506024096385544,0.14725274725274726,0.3,0.20562770562770563,0.2012072434607646,0.1856573705179283,0.18688553370786518,0.19180516358315042,0.18143261074458059
DecisionTree (PREP),0.18278237597264213,0.17818935544263173,0.22021978021978023,0.21686746987951808,0.12527472527472527,0.2,0.1976911976911977,0.2012072434607646,0.1775754126351736,0.18679775280898878,0.188669384342009,0.1774740810556079
RandomForest2 (ERM),0.16300738464588393,0.1586654185611126,0.2175824175824176,0.1686746987951807,0.08461538461538462,0.25,0.16017316017316016,0.18309859154929578,0.16903813318155947,0.1583567415730337,0.16494198808403887,0.16126295947219604
