,0,1,2,3,4,5,6,7,8,9,10,11
DecisionTree4 (G-ERM),0.32086715298469126,0.30244491397524903,0.3426773455377574,0.3204633204633205,0.2800662878787879,0.336,0.3610593834057521,0.29080118694362017,0.33402649414664204,0.3004008633980882,0.33229527921296625,0.2846715328467153
DecisionTree4 (PREP),0.30185965272783316,0.2886205855719891,0.33581235697940504,0.3204633204633205,0.2703598484848485,0.336,0.3610593834057521,0.29080118694362017,0.3150030807147258,0.29133518347209375,0.32160804020100503,0.2833443928334439
DecisionTree8 (ERM),0.29925682386383096,0.2817989737398129,0.33810068649885583,0.3436293436293436,0.2743844696969697,0.32,0.36974963790606247,0.27225519287833827,0.31199938385705484,0.2890533456675917,0.31375185788095405,0.2856668878566689
DecisionTree8 (G-ERM),0.29925682386383096,0.2848777543012376,0.33810068649885583,0.3204633204633205,0.2715435606060606,0.416,0.3500931098696462,0.30118694362017806,0.30976586568083797,0.28288621646623496,0.3022860782787175,0.2773059057730591
DecisionTree8 (PREP),0.28925648138634885,0.27642619981889527,0.32379862700228834,0.3204633204633205,0.2705965909090909,0.264,0.3372646389406166,0.2789317507418398,0.3030653111521873,0.27819919827320383,0.30207374902682427,0.2772395487723955
DecisionTree16 (ERM),0.30134593650467484,0.28421370359191067,0.33466819221967964,0.3745173745173745,0.27982954545454547,0.336,0.3654045106559073,0.2789317507418398,0.3141558841651263,0.2910884983040395,0.3061787812300941,0.29681486396814866
DecisionTree16 (G-ERM),0.30134593650467484,0.2873528523996378,0.3438215102974828,0.41312741312741313,0.3025568181818182,0.416,0.37368094351334574,0.32566765578635015,0.31276956253850896,0.29879740980573544,0.30787741524524026,0.30099535500995356
DecisionTree16 (PREP),0.30072947703688485,0.2840325988530033,0.32265446224256294,0.33976833976833976,0.2833806818181818,0.344,0.36250775915580385,0.28635014836795253,0.31276956253850896,0.2910884983040395,0.3058956755609031,0.2958858659588587
DecisionTree (ERM),0.3378540360971266,0.32297011771808026,0.35068649885583525,0.3938223938223938,0.32670454545454547,0.416,0.3927167390854542,0.3219584569732938,0.34850585335797907,0.32932469935245146,0.34510581074386015,0.33105507631055076
DecisionTree (G-ERM),0.3378540360971266,0.32158164805312406,0.32894736842105265,0.38996138996138996,0.3312026515151515,0.352,0.3960273122284296,0.3434718100890208,0.33903265557609363,0.3312981806968856,0.3433364003114162,0.33171864631718645
DecisionTree (PREP),0.3325798828727011,0.32037428312707517,0.32379862700228834,0.3783783783783784,0.3191287878787879,0.352,0.39085454169253053,0.3115727002967359,0.33895563770794823,0.3274745605920444,0.3357633236605563,0.32959522229595223
RandomForest2 (ERM),0.32487413952532623,0.30745547841835197,0.41304347826086957,0.39768339768339767,0.28101325757575757,0.368,0.3894061659424788,0.3078635014836795,0.33672211953173137,0.31538698735738513,0.33229527921296625,0.3179163901791639
RandomForest2 (G-ERM),0.32487413952532623,0.30745547841835197,0.35812356979405036,0.38223938223938225,0.27959280303030304,0.36,0.38961307676391477,0.3078635014836795,0.33672211953173137,0.3154486586493987,0.33243683204756175,0.31884538818845387
RandomForest2 (PREP),0.3212096304667968,0.30745547841835197,0.35812356979405036,0.38223938223938225,0.27959280303030304,0.36,0.3894061659424788,0.3078635014836795,0.3315619223659889,0.3129201356768424,0.33045509236322457,0.31254147312541475
RandomForest4 (ERM),0.32086715298469126,0.3021430727437368,0.40675057208237986,0.3745173745173745,0.2765151515151515,0.352,0.3918890957997103,0.30489614243323443,0.33572088724584104,0.3089731729879741,0.3313751857880954,0.3110152621101526
RandomForest4 (G-ERM),0.32086715298469126,0.30244491397524903,0.3426773455377574,0.3204633204633205,0.2800662878787879,0.336,0.3610593834057521,0.29080118694362017,0.33402649414664204,0.3004008633980882,0.33229527921296625,0.2846715328467153
RandomForest4 (PREP),0.30185965272783316,0.2886205855719891,0.33581235697940504,0.3204633204633205,0.2703598484848485,0.336,0.3610593834057521,0.29080118694362017,0.3150030807147258,0.29133518347209375,0.32160804020100503,0.2833443928334439
RandomForest8 (ERM),0.29925682386383096,0.2817989737398129,0.33810068649885583,0.3436293436293436,0.2743844696969697,0.32,0.36974963790606247,0.27225519287833827,0.31199938385705484,0.2890533456675917,0.31375185788095405,0.2856668878566689
RandomForest8 (G-ERM),0.29925682386383096,0.2850588590401449,0.33810068649885583,0.32432432432432434,0.27201704545454547,0.408,0.3498861990482102,0.30192878338278933,0.30968884781269257,0.28270120259019427,0.30221530186141976,0.2773059057730591
RandomForest8 (PREP),0.2892222336381383,0.2763658315725928,0.32379862700228834,0.32432432432432434,0.2705965909090909,0.264,0.3372646389406166,0.2789317507418398,0.3029882932840419,0.27819919827320383,0.3019321961922288,0.2773059057730591
RandomForest16 (ERM),0.29973629233877874,0.283851494114096,0.3306636155606407,0.37065637065637064,0.2741477272727273,0.328,0.3633354024415477,0.28041543026706234,0.3126925446703635,0.28936170212765955,0.30518791138792556,0.29462508294625084
RandomForest16 (G-ERM),0.29973629233877874,0.28801690310896466,0.3438215102974828,0.4015444015444015,0.3037405303030303,0.416,0.36974963790606247,0.33456973293768544,0.3126925446703635,0.2985507246376812,0.30823129733172905,0.30165892501658925
RandomForest16 (PREP),0.29973629233877874,0.283851494114096,0.3306636155606407,0.37065637065637064,0.2741477272727273,0.328,0.3633354024415477,0.28041543026706234,0.3126925446703635,0.28936170212765955,0.30518791138792556,0.29462508294625084
RandomForest (ERM),0.2964142607623549,0.28191971023241774,0.3009153318077803,0.3281853281853282,0.2840909090909091,0.304,0.3569211669770329,0.2774480712166172,0.30244916820702406,0.291581868640148,0.30922216717389767,0.28440610484406104
RandomForest (G-ERM),0.2964142607623549,0.2809538182915786,0.3003432494279176,0.3590733590733591,0.2890625,0.368,0.36250775915580385,0.28486646884273,0.30167898952556993,0.29398704902867717,0.3094344964257909,0.2833443928334439
RandomForest (PREP),0.29435939586972154,0.2795653486266224,0.2997711670480549,0.35135135135135137,0.2843276515151515,0.28,0.35195530726256985,0.27967359050445106,0.29990757855822553,0.2899167437557817,0.3061080048127964,0.2833443928334439
XGBoost (ERM),0.27586561183602176,0.26326592212496225,0.2986270022883295,0.33976833976833976,0.2526041666666667,0.304,0.3335402441547693,0.24851632047477745,0.28835489833641403,0.2658649398704903,0.28515818529266046,0.2671532846715328
XGBoost (G-ERM),0.27586561183602176,0.2636281316027769,0.31292906178489704,0.3667953667953668,0.25923295454545453,0.36,0.3393337471549762,0.2789317507418398,0.2886629698089957,0.26765340733888376,0.2867152664732111,0.2710019907100199
XGBoost (PREP),0.27586561183602176,0.26326592212496225,0.2986270022883295,0.33976833976833976,0.2526041666666667,0.304,0.3335402441547693,0.24851632047477745,0.28835489833641403,0.2658649398704903,0.28515818529266046,0.2671532846715328
MLP (ERM),0.29925682386383096,0.28837911258677934,0.32837528604118993,0.35135135135135137,0.26728219696969696,0.336,0.35236912890544175,0.28560830860534125,0.3100739371534196,0.2905951279679309,0.3080189680798358,0.29104180491041803
MLP (G-ERM),0.29925682386383096,0.29055236945366736,0.34725400457665906,0.4362934362934363,0.2821969696969697,0.4,0.3641630457272915,0.3271513353115727,0.31215341959334564,0.2928152944804194,0.3131148701252743,0.28692767086927673
MLP (PREP),0.29713346347477654,0.28421370359191067,0.32723112128146453,0.3436293436293436,0.26609848484848486,0.336,0.3544382371198014,0.28857566765578635,0.3079174368453481,0.28849830403946963,0.3080189680798358,0.28692767086927673
LogisticRegression (ERM) err,0.005376321695448827,0.007053923377540294,0.02218355959347479,0.057442746594373206,0.01342565710046928,0.07824427609932644,0.013760428215912779,0.02396457476813524,0.008144137303404353,0.007123803986142763,0.007766660693330207,0.007416924110167811
LogisticRegression (G-ERM) err,0.005376321695448827,0.007042690538384411,0.022205132177333442,0.05645043370230429,0.01344165574842976,0.07824427609932644,0.013678689792102516,0.024111026897710608,0.008106341395300476,0.007112151770675035,0.007742283295433083,0.007384850539522481
LogisticRegression (PREP) err,0.005344887853139135,0.007019038793003363,0.022117950866693825,0.05580509068067768,0.01342164511645294,0.07596285629142163,0.013627860436842387,0.023704278518345112,0.008106341395300476,0.007073313032306017,0.007731173276847858,0.00736268837266002
SVMClassifier (ERM) err,0.005377863562039842,0.0070530628743097346,0.022194364392434995,0.057058126800204556,0.01339746939041181,0.07674987936342173,0.013797563688175807,0.023985737088797532,0.008137109683225341,0.007133580846946319,0.0077798775867547465,0.007408121258445255
